wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
38-17 39-ea 3a-95 3b-6d 3c-f9 3d-fc 3e-5b 3f-d8 
40-51 41-73 42-1b 43-e5 44-de 45-d3 46-ed 47-e1 
48-05 49-80 4a-58 4b-f2 4c-ac 4d-26 4e-e3 4f-b2 
50-a3 51-40 52-d6 53-e7 54-9b 55-84 56-dc 57-19 
58-4a 59-d2 5a-5e 5b-3e 5c-8f 5d-c3 5e-5a 5f-1f 
60-7c 61-67 62-85 63-b3 64-a5 65-bd 66-31 67-61 
68-00 69-94 6a-c6 6b-75 6c-f3 6d-3b 6e-d0 6f-f6 
70-c5 71-e4 72-2c 73-41 74-77 75-6b 76-f8 77-74 
78-ba 79-9a 7a-c4 7b-df 7c-60 7d-08 7e-e0 7f-f7 
80-49 81-a2 82-a0 83-22 84-55 85-62 86-25 87-96 
88-fb 89-fa 8a-f0 8b-d5 8c-92 8d-37 8e-d4 8f-5c 
90-07 91-e2 92-8c 93-b1 94-69 95-3a 96-87 97-15 
98-28 99-c0 9a-79 9b-54 9c-f4 9d-2d 9e-21 9f-ef 
a0-82 a1-b6 a2-81 a3-50 a4-cb a5-64 a6-b8 a7-ab 
a8-ca a9-b9 aa-ae ab-a7 ac-4c ad-18 ae-aa af-ff 
b0-35 b1-93 b2-4f b3-63 b4-fe b5-1d b6-a1 b7-eb 
b8-a6 b9-a9 ba-78 bb-01 bc-04 bd-65 be-d7 bf-02 
c0-99 c1-fd c2-20 c3-5d c4-7a c5-70 c6-6a c7-ce 
c8-f1 c9-1c ca-a8 cb-a4 cc-32 cd-0f ce-c7 cf-33 
d0-6e d1-1e d2-59 d3-45 d4-8e d5-8b d6-52 d7-be 
d8-3f d9-f5 da-03 db-2b dc-56 dd-e9 de-44 df-7b 
e0-7e e1-47 e2-91 e3-4e e4-71 e5-43 e6-1a e7-53 
e8-27 e9-dd ea-39 eb-b7 ec-2f ed-46 ee-0a ef-9f 
f0-8a f1-c8 f2-4b f3-6c f4-9c f5-d9 f6-6f f7-7f 
f8-76 f9-3c fa-89 fb-88 fc-3d fd-c1 fe-b4 ff-af 
end wires

wires 53
00-8d 01-40 02-33 03-3c 04-d2 05-1b 06-8b 07-59 
08-42 09-0c 0a-b0 0b-ff 0c-09 0d-7c 0e-cd 0f-9b 
10-db 11-18 12-53 13-a5 14-cf 15-92 16-eb 17-f4 
18-11 19-c8 1a-e7 1b-05 1c-bc 1d-f8 1e-dd 1f-95 
20-c9 21-51 22-97 23-fa 24-54 25-a0 26-69 27-dc 
28-ba 29-ea 2a-d0 2b-9d 2c-47 2d-3d 2e-a2 2f-b1 
30-75 31-5a 32-a6 33-02 34-a8 35-80 36-d8 37-9e 
38-d5 39-cb 3a-58 3b-fb 3c-03 3d-2d 3e-df 3f-ae 
40-01 41-65 42-08 43-f6 44-4f 45-e3 46-87 47-2c 
48-6f 49-4c 4a-93 4b-4e 4c-49 4d-7f 4e-4b 4f-44 
50-b7 51-21 52-c6 53-12 54-24 55-c1 56-ab 57-84 
58-3a 59-07 5a-31 5b-a9 5c-b3 5d-63 5e-e0 5f-b5 
60-94 61-e1 62-98 63-5d 64-f0 65-41 66-bf 67-e5 
68-73 69-26 6a-81 6b-ec 6c-a4 6d-7e 6e-e6 6f-48 
70-e2 71-99 72-74 73-68 74-72 75-30 76-8a 77-b2 
78-f1 79-90 7a-da 7b-96 7c-0d 7d-ad 7e-6d 7f-4d 
80-35 81-6a 82-e4 83-cc 84-57 85-89 86-e8 87-46 
88-de 89-85 8a-76 8b-06 8c-bd 8d-00 8e-d7 8f-b8 
90-79 91-9c 92-15 93-4a 94-60 95-1f 96-7b 97-22 
98-62 99-71 9a-fd 9b-0f 9c-91 9d-2b 9e-37 9f-d4 
a0-25 a1-b4 a2-2e a3-d9 a4-6c a5-13 a6-32 a7-ac 
a8-34 a9-5b aa-bb ab-56 ac-a7 ad-7d ae-3f af-b6 
b0-0a b1-2f b2-77 b3-5c b4-a1 b5-5f b6-af b7-50 
b8-8f b9-c3 ba-28 bb-aa bc-1c bd-8c be-fc bf-66 
c0-ed c1-55 c2-d1 c3-b9 c4-f5 c5-ca c6-52 c7-fe 
c8-19 c9-20 ca-c5 cb-39 cc-83 cd-0e ce-f3 cf-14 
d0-2a d1-c2 d2-04 d3-ee d4-9f d5-38 d6-f2 d7-8e 
d8-36 d9-a3 da-7a db-10 dc-27 dd-1e de-88 df-3e 
e0-5e e1-61 e2-70 e3-45 e4-82 e5-67 e6-6e e7-1a 
e8-86 e9-ef ea-29 eb-16 ec-6b ed-c0 ee-d3 ef-e9 
f0-64 f1-78 f2-d6 f3-ce f4-17 f5-c4 f6-43 f7-f9 
f8-1d f9-f7 fa-23 fb-3b fc-be fd-9a fe-c7 ff-0b 
end wires

wires 54
00-97 01-bc 02-da 03-09 04-6d 05-21 06-3b 07-0b 
08-63 09-03 0a-62 0b-07 0c-f0 0d-5e 0e-37 0f-3e 
10-74 11-e3 12-49 13-a3 14-d0 15-1a 16-51 17-4a 
18-db 19-5d 1a-15 1b-ab 1c-b2 1d-c9 1e-44 1f-30 
20-75 21-05 22-a8 23-cd 24-7d 25-d9 26-bd 27-b8 
28-aa 29-e5 2a-bb 2b-cf 2c-f1 2d-e9 2e-de 2f-7c 
30-1f 31-64 32-ac 33-b0 34-54 35-7a 36-38 37-0e 
38-36 39-fa 3a-dc 3b-06 3c-b4 3d-cc 3e-0f 3f-a9 
40-93 41-d2 42-53 43-e0 44-1e 45-4b 46-c1 47-e4 
48-f8 49-12 4a-17 4b-45 4c-c3 4d-5f 4e-8b 4f-81 
50-bf 51-16 52-83 53-42 54-34 55-6f 56-79 57-e2 
58-96 59-5a 5a-59 5b-71 5c-a0 5d-19 5e-0d 5f-4d 
60-99 61-f6 62-0a 63-08 64-31 65-67 66-b3 67-65 
68-d6 69-82 6a-c7 6b-9e 6c-e8 6d-04 6e-9d 6f-55 
70-b7 71-5b 72-c2 73-87 74-10 75-20 76-ca 77-a4 
78-7b 79-56 7a-35 7b-78 7c-2f 7d-24 7e-d8 7f-fd 
80-94 81-4f 82-69 83-52 84-d1 85-d4 86-f2 87-73 
88-8e 89-e7 8a-9c 8b-4e 8c-ed 8d-d7 8e-88 8f-ff 
90-cb 91-ce 92-f7 93-40 94-80 95-f4 96-58 97-00 
98-eb 99-60 9a-9f 9b-f3 9c-8a 9d-6e 9e-6b 9f-9a 
a0-5c a1-b6 a2-b1 a3-13 a4-77 a5-b5 a6-fc a7-ae 
a8-22 a9-3f aa-28 ab-1b ac-32 ad-ec ae-a7 af-df 
b0-33 b1-a2 b2-1c b3-66 b4-3c b5-a5 b6-a1 b7-70 
b8-27 b9-c6 ba-fb bb-2a bc-01 bd-26 be-dd bf-50 
c0-d3 c1-46 c2-72 c3-4c c4-d5 c5-ee c6-b9 c7-6a 
c8-ef c9-1d ca-76 cb-90 cc-3d cd-23 ce-91 cf-2b 
d0-14 d1-84 d2-41 d3-c0 d4-85 d5-c4 d6-68 d7-8d 
d8-7e d9-25 da-02 db-18 dc-3a dd-be de-2e df-af 
e0-43 e1-f9 e2-57 e3-11 e4-47 e5-29 e6-f5 e7-89 
e8-6c e9-2d ea-fe eb-98 ec-ad ed-8c ee-c5 ef-c8 
f0-0c f1-2c f2-86 f3-9b f4-95 f5-e6 f6-61 f7-92 
f8-48 f9-e1 fa-39 fb-ba fc-a6 fd-7f fe-ea ff-8f 
end wires

wires 55
00-44 01-32 02-b9 03-1b 04-34 05-83 06-a7 07-5b 
08-70 09-27 0a-c6 0b-19 0c-39 0d-ed 0e-b8 0f-bd 
10-55 11-42 12-b6 13-bb 14-7b 15-eb 16-d0 17-23 
18-e7 19-0b 1a-58 1b-03 1c-5c 1d-64 1e-88 1f-4d 
20-a3 21-d7 22-dd 23-17 24-73 25-c5 26-6c 27-09 
28-92 29-3c 2a-4c 2b-bc 2c-c8 2d-47 2e-7e 2f-b5 
30-a1 31-65 32-01 33-8b 34-04 35-c7 36-af 37-71 
38-79 39-0c 3a-bf 3b-d3 3c-29 3d-3f 3e-cd 3f-3d 
40-85 41-f9 42-11 43-72 44-00 45-5e 46-f7 47-2d 
48-c0 49-7a 4a-8d 4b-ee 4c-2a 4d-1f 4e-54 4f-a9 
50-df 51-e3 52-5d 53-91 54-4e 55-10 56-86 57-a4 
58-1a 59-d6 5a-f5 5b-07 5c-1c 5d-52 5e-45 5f-84 
60-9f 61-cb 62-f8 63-ae 64-1d 65-31 66-98 67-ea 
68-fe 69-87 6a-b2 6b-c3 6c-26 6d-c9 6e-b7 6f-89 
70-08 71-37 72-43 73-24 74-90 75-cc 76-9d 77-d8 
78-80 79-38 7a-49 7b-14 7c-c2 7d-9a 7e-2e 7f-be 
80-78 81-aa 82-ec 83-05 84-5f 85-40 86-56 87-69 
88-1e 89-6f 8a-f6 8b-33 8c-8e 8d-4a 8e-8c 8f-96 
90-74 91-53 92-28 93-d9 94-f1 95-d2 96-8f 97-b4 
98-66 99-f3 9a-7d 9b-fa 9c-a2 9d-76 9e-da 9f-60 
a0-e4 a1-30 a2-9c a3-20 a4-57 a5-de a6-f2 a7-06 
a8-b0 a9-4f aa-81 ab-e0 ac-e6 ad-b1 ae-63 af-36 
b0-a8 b1-ad b2-6a b3-d5 b4-97 b5-2f b6-12 b7-6e 
b8-0e b9-02 ba-ce bb-13 bc-2b bd-0f be-7f bf-3a 
c0-48 c1-f0 c2-7c c3-6b c4-ef c5-25 c6-0a c7-35 
c8-2c c9-6d ca-e5 cb-61 cc-75 cd-3e ce-ba cf-e2 
d0-16 d1-db d2-95 d3-3b d4-e1 d5-b3 d6-59 d7-21 
d8-77 d9-93 da-9e db-d1 dc-e8 dd-22 de-a5 df-50 
e0-ab e1-d4 e2-cf e3-51 e4-a0 e5-ca e6-ac e7-18 
e8-dc e9-f4 ea-67 eb-15 ec-82 ed-0d ee-4b ef-c4 
f0-c1 f1-94 f2-a6 f3-99 f4-e9 f5-5a f6-8a f7-46 
f8-62 f9-41 fa-9b fb-fd fc-ff fd-fb fe-68 ff-fc 
end wires

wires 56
00-f2 01-0d 02-b9 03-05 04-fc 05-03 06-e2 07-c7 
08-46 09-a1 0a-9e 0b-24 0c-88 0d-01 0e-65 0f-10 
10-0f 11-f4 12-96 13-86 14-72 15-e8 16-c6 17-b8 
18-e6 19-69 1a-52 1b-f3 1c-1e 1d-73 1e-1c 1f-f5 
20-e5 21-2b 22-ff 23-35 24-0b 25-f6 26-d7 27-51 
28-bd 29-ae 2a-30 2b-21 2c-fb 2d-92 2e-d6 2f-ec 
30-2a 31-af 32-53 33-74 34-d2 35-23 36-89 37-7c 
38-ce 39-64 3a-5c 3b-d8 3c-b1 3d-87 3e-f7 3f-50 
40-ca 41-a3 42-68 43-99 44-cd 45-55 46-08 47-5b 
48-d4 49-7f 4a-91 4b-9c 4c-8c 4d-8b 4e-6f 4f-bf 
50-3f 51-27 52-1a 53-32 54-b0 55-45 56-b2 57-b5 
58-df 59-b6 5a-6a 5b-47 5c-3a 5d-a2 5e-8a 5f-ee 
60-71 61-6e 62-fd 63-cc 64-39 65-0e 66-b7 67-c2 
68-42 69-19 6a-5a 6b-a6 6c-a8 6d-7a 6e-61 6f-4e 
70-c3 71-60 72-14 73-1d 74-33 75-76 76-75 77-c8 
78-bc 79-c9 7a-6d 7b-ac 7c-37 7d-a9 7e-c1 7f-49 
80-de 81-e9 82-ef 83-cf 84-f1 85-8e 86-13 87-3d 
88-0c 89-36 8a-5e 8b-4d 8c-4c 8d-be 8e-85 8f-e7 
90-db 91-4a 92-2d 93-ba 94-aa 95-97 96-12 97-95 
98-c4 99-43 9a-bb 9b-9d 9c-4b 9d-9b 9e-0a 9f-ab 
a0-dc a1-09 a2-5d a3-41 a4-d1 a5-b3 a6-6b a7-f0 
a8-6c a9-7d aa-94 ab-9f ac-7b ad-d9 ae-29 af-31 
b0-54 b1-3c b2-56 b3-a5 b4-fe b5-57 b6-59 b7-66 
b8-17 b9-02 ba-93 bb-9a bc-78 bd-28 be-8d bf-4f 
c0-e3 c1-7e c2-67 c3-70 c4-98 c5-e1 c6-16 c7-07 
c8-77 c9-79 ca-40 cb-e0 cc-63 cd-44 ce-38 cf-83 
d0-fa d1-a4 d2-34 d3-da d4-48 d5-f9 d6-2e d7-26 
d8-3b d9-ad da-d3 db-90 dc-a0 dd-eb de-80 df-58 
e0-cb e1-c5 e2-06 e3-c0 e4-f8 e5-20 e6-18 e7-8f 
e8-15 e9-81 ea-ed eb-dd ec-2f ed-ea ee-5f ef-82 
f0-a7 f1-84 f2-00 f3-1b f4-11 f5-1f f6-25 f7-3e 
f8-e4 f9-d5 fa-d0 fb-2c fc-04 fd-62 fe-b4 ff-22 
end wires

wires 57
00-a9 01-f0 02-5f 03-13 04-cb 05-0c 06-57 07-44 
08-e6 09-83 0a-46 0b-9e 0c-05 0d-27 0e-e8 0f-32 
10-c4 11-b9 12-6d 13-03 14-af 15-fc 16-18 17-26 
18-16 19-bf 1a-d3 1b-c1 1c-71 1d-b7 1e-63 1f-97 
20-29 21-d9 22-45 23-4d 24-8f 25-98 26-17 27-0d 
28-60 29-20 2a-72 2b-4a 2c-9d 2d-37 2e-f9 2f-3a 
30-79 31-8d 32-0f 33-e9 34-cd 35-ba 36-e0 37-2d 
38-f2 39-62 3a-2f 3b-ac 3c-c0 3d-5d 3e-d5 3f-66 
40-a0 41-53 42-88 43-dd 44-07 45-22 46-0a 47-ab 
48-aa 49-a3 4a-2b 4b-a4 4c-5c 4d-23 4e-eb 4f-73 
50-d0 51-e5 52-a7 53-41 54-bb 55-7f 56-89 57-06 
58-90 59-9c 5a-a2 5b-74 5c-4c 5d-3d 5e-b6 5f-02 
60-28 61-f7 62-39 63-1e 64-db 65-c5 66-3f 67-f6 
68-ae 69-b5 6a-9f 6b-6f 6c-c3 6d-12 6e-95 6f-6b 
70-e4 71-1c 72-2a 73-4f 74-5b 75-ef 76-fa 77-8e 
78-81 79-30 7a-92 7b-a8 7c-bc 7d-84 7e-85 7f-55 
80-fe 81-78 82-ca 83-09 84-7d 85-7e 86-e3 87-ed 
88-42 89-56 8a-a5 8b-d6 8c-a6 8d-31 8e-77 8f-24 
90-58 91-cc 92-7a 93-d2 94-dc 95-6e 96-e7 97-1f 
98-25 99-d1 9a-c8 9b-f8 9c-59 9d-2c 9e-0b 9f-6a 
a0-40 a1-bd a2-5a a3-49 a4-4b a5-8a a6-8c a7-52 
a8-7b a9-00 aa-48 ab-47 ac-3b ad-f3 ae-68 af-14 
b0-ea b1-b2 b2-b1 b3-d4 b4-cf b5-69 b6-5e b7-1d 
b8-c6 b9-11 ba-35 bb-54 bc-7c bd-a1 be-df bf-19 
c0-3c c1-1b c2-d8 c3-6c c4-10 c5-65 c6-b8 c7-de 
c8-9a c9-e2 ca-82 cb-04 cc-91 cd-34 ce-ff cf-b4 
d0-50 d1-99 d2-93 d3-1a d4-b3 d5-3e d6-8b d7-f4 
d8-c2 d9-21 da-ec db-64 dc-94 dd-43 de-c7 df-be 
e0-36 e1-fb e2-c9 e3-86 e4-70 e5-51 e6-08 e7-96 
e8-0e e9-33 ea-b0 eb-4e ec-da ed-87 ee-f5 ef-75 
f0-01 f1-fd f2-38 f3-ad f4-d7 f5-ee f6-67 f7-61 
f8-9b f9-2e fa-76 fb-e1 fc-15 fd-f1 fe-80 ff-ce 
end wires

wires 58
00-ab 01-3d 02-15 03-30 04-cf 05-58 06-22 07-33 
08-d9 09-28 0a-ac 0b-91 0c-b5 0d-e8 0e-d3 0f-42 
10-a8 11-6a 12-62 13-4c 14-6d 15-02 16-e7 17-da 
18-46 19-bd 1a-98 1b-d7 1c-a7 1d-9b 1e-f7 1f-ec 
20-51 21-56 22-06 23-63 24-48 25-35 26-74 27-ee 
28-09 29-97 2a-a3 2b-81 2c-b1 2d-cb 2e-89 2f-ea 
30-03 31-3a 32-ff 33-07 34-b9 35-25 36-86 37-4e 
38-a4 39-ad 3a-31 3b-82 3c-ce 3d-01 3e-83 3f-77 
40-d4 41-9a 42-0f 43-8a 44-45 45-44 46-18 47-7d 
48-24 49-d2 4a-de 4b-6c 4c-13 4d-76 4e-37 4f-b2 
50-f4 51-20 52-61 53-fe 54-f8 55-5d 56-21 57-79 
58-05 59-7f 5a-a6 5b-cc 5c-dc 5d-55 5e-9d 5f-6b 
60-84 61-52 62-12 63-23 64-d0 65-78 66-af 67-b8 
68-d1 69-be 6a-11 6b-5f 6c-4b 6d-14 6e-9f 6f-ca 
70-f6 71-df 72-7e 73-d6 74-26 75-f5 76-4d 77-3f 
78-65 79-57 7a-c3 7b-95 7c-90 7d-47 7e-72 7f-59 
80-8e 81-2b 82-3b 83-3e 84-60 85-f0 86-36 87-a9 
88-f9 89-2e 8a-43 8b-eb 8c-c6 8d-b0 8e-80 8f-fa 
90-7c 91-0b 92-b3 93-c5 94-b6 95-7b 96-bc 97-29 
98-1a 99-d8 9a-41 9b-1d 9c-c8 9d-5e 9e-e0 9f-6e 
a0-c0 a1-bf a2-ba a3-2a a4-38 a5-d5 a6-5a a7-1c 
a8-10 a9-87 aa-cd ab-00 ac-0a ad-39 ae-f3 af-66 
b0-8d b1-2c b2-4f b3-92 b4-e3 b5-0c b6-94 b7-c7 
b8-67 b9-34 ba-a2 bb-dd bc-96 bd-19 be-69 bf-a1 
c0-a0 c1-e4 c2-fc c3-7a c4-e5 c5-93 c6-8c c7-b7 
c8-9c c9-f1 ca-6f cb-2d cc-5b cd-aa ce-3c cf-04 
d0-64 d1-68 d2-49 d3-0e d4-40 d5-a5 d6-73 d7-1b 
d8-99 d9-08 da-17 db-e9 dc-5c dd-bb de-4a df-71 
e0-9e e1-ed e2-fd e3-b4 e4-c1 e5-c4 e6-f2 e7-16 
e8-0d e9-db ea-2f eb-8b ec-1f ed-e1 ee-27 ef-fb 
f0-85 f1-c9 f2-e6 f3-ae f4-50 f5-75 f6-70 f7-1e 
f8-54 f9-88 fa-8f fb-ef fc-c2 fd-e2 fe-53 ff-32 
end wires

wires 59
00-60 01-a3 02-df 03-c6 04-23 05-bc 06-7e 07-f9 
08-5f 09-e1 0a-50 0b-97 0c-a0 0d-85 0e-9c 0f-d6 
10-91 11-b7 12-bb 13-1b 14-f0 15-eb 16-e2 17-55 
18-70 19-2c 1a-cc 1b-13 1c-78 1d-80 1e-f7 1f-7b 
20-dd 21-ac 22-24 23-04 24-22 25-88 26-84 27-6a 
28-8d 29-ab 2a-89 2b-d3 2c-19 2d-8f 2e-d5 2f-4d 
30-54 31-fd 32-46 33-5c 34-9b 35-39 36-b6 37-cb 
38-d1 39-35 3a-a8 3b-7f 3c-b2 3d-d9 3e-ca 3f-8e 
40-73 41-4e 42-e7 43-da 44-b0 45-e4 46-32 47-59 
48-56 49-79 4a-ea 4b-f6 4c-ba 4d-2f 4e-41 4f-9f 
50-0a 51-f8 52-7c 53-b1 54-30 55-17 56-48 57-8a 
58-f5 59-47 5a-67 5b-6e 5c-33 5d-c5 5e-65 5f-08 
60-00 61-f1 62-d0 63-e0 64-dc 65-5e 66-8c 67-5a 
68-a1 69-ad 6a-27 6b-95 6c-72 6d-fa 6e-5b 6f-bd 
70-18 71-db 72-6c 73-40 74-87 75-86 76-be 77-b4 
78-1c 79-49 7a-94 7b-1f 7c-52 7d-e6 7e-06 7f-3b 
80-1d 81-d7 82-b9 83-a9 84-26 85-0d 86-75 87-74 
88-25 89-2a 8a-57 8b-a7 8c-66 8d-28 8e-3f 8f-2d 
90-f3 91-10 92-aa 93-e8 94-7a 95-6b 96-9d 97-0b 
98-ed 99-f4 9a-ee 9b-34 9c-0e 9d-96 9e-c9 9f-4f 
a0-0c a1-68 a2-c3 a3-01 a4-c7 a5-fe a6-cf a7-8b 
a8-3a a9-83 aa-92 ab-29 ac-21 ad-69 ae-bf af-b8 
b0-44 b1-53 b2-3c b3-ff b4-77 b5-e3 b6-36 b7-11 
b8-af b9-82 ba-4c bb-12 bc-05 bd-6f be-76 bf-ae 
c0-c1 c1-c0 c2-c4 c3-a2 c4-c2 c5-5d c6-03 c7-a4 
c8-ce c9-9e ca-3e cb-37 cc-1a cd-de ce-c8 cf-a6 
d0-62 d1-38 d2-d8 d3-2b d4-ef d5-2e d6-0f d7-81 
d8-d2 d9-3d da-43 db-71 dc-64 dd-20 de-cd df-02 
e0-63 e1-09 e2-16 e3-b5 e4-45 e5-ec e6-7d e7-42 
e8-93 e9-fb ea-4a eb-15 ec-e5 ed-98 ee-9a ef-d4 
f0-14 f1-61 f2-fc f3-90 f4-99 f5-58 f6-4b f7-1e 
f8-51 f9-07 fa-6d fb-e9 fc-f2 fd-31 fe-a5 ff-b3 
end wires

wires 60
00-16 01-fa 02-87 03-bf 04-a3 05-52 06-e4 07-38 
08-6f 09-3d 0a-30 0b-36 0c-e7 0d-c3 0e-a1 0f-32 
10-22 11-47 12-9e 13-3f 14-7f 15-ce 16-00 17-d6 
18-1f 19-20 1a-e1 1b-85 1c-7e 1d-2d 1e-65 1f-18 
20-19 21-aa 22-10 23-fc 24-7d 25-9b 26-69 27-37 
28-f7 29-d9 2a-cf 2b-d7 2c-c1 2d-1d 2e-ab 2f-31 
30-0a 31-2f 32-0f 33-7a 34-3c 35-e9 36-0b 37-27 
38-07 39-72 3a-81 3b-e2 3c-34 3d-09 3e-93 3f-13 
40-90 41-51 42-c7 43-5e 44-f5 45-a4 46-6b 47-11 
48-ae 49-4e 4a-e8 4b-61 4c-6c 4d-b0 4e-49 4f-6e 
50-6d 51-41 52-05 53-b2 54-b4 55-59 56-f6 57-d3 
58-5c 59-55 5a-ef 5b-df 5c-58 5d-d4 5e-43 5f-cc 
60-f4 61-4b 62-a8 63-66 64-fb 65-1e 66-63 67-dd 
68-bb 69-26 6a-76 6b-46 6c-4c 6d-50 6e-4f 6f-08 
70-b9 71-b1 72-39 73-ba 74-83 75-91 76-6a 77-dc 
78-f3 79-98 7a-33 7b-96 7c-d5 7d-24 7e-1c 7f-14 
80-f2 81-3a 82-8b 83-74 84-e0 85-1b 86-de 87-02 
88-e5 89-94 8a-b3 8b-82 8c-b6 8d-f8 8e-fe 8f-a0 
90-40 91-75 92-b7 93-3e 94-89 95-ad 96-7b 97-c8 
98-79 99-d2 9a-ed 9b-25 9c-d8 9d-c6 9e-12 9f-a7 
a0-8f a1-0e a2-db a3-04 a4-45 a5-c9 a6-cb a7-9f 
a8-62 a9-c4 aa-21 ab-2e ac-f0 ad-95 ae-48 af-b8 
b0-4d b1-71 b2-53 b3-8a b4-54 b5-ec b6-8c b7-92 
b8-af b9-70 ba-73 bb-68 bc-c5 bd-d0 be-ea bf-03 
c0-e6 c1-2c c2-e3 c3-0d c4-a9 c5-bc c6-9d c7-42 
c8-97 c9-a5 ca-da cb-a6 cc-5f cd-f9 ce-15 cf-2a 
d0-bd d1-ff d2-99 d3-57 d4-5d d5-7c d6-17 d7-2b 
d8-9c d9-29 da-ca db-a2 dc-77 dd-67 de-86 df-5b 
e0-84 e1-1a e2-3b e3-c2 e4-06 e5-88 e6-c0 e7-0c 
e8-4a e9-35 ea-be eb-fd ec-b5 ed-9a ee-f1 ef-5a 
f0-ac f1-ee f2-80 f3-78 f4-60 f5-44 f6-56 f7-28 
f8-8d f9-cd fa-01 fb-64 fc-23 fd-eb fe-8e ff-d1 
end wires

wires 61
00-ca 01-c1 02-fa 03-bc 04-34 05-40 06-a8 07-d5 
08-fb 09-c4 0a-ae 0b-74 0c-b3 0d-36 0e-cf 0f-7a 
10-95 11-84 12-47 13-82 14-dc 15-26 16-35 17-2f 
18-77 19-3a 1a-d9 1b-62 1c-5c 1d-9a 1e-98 1f-ee 
20-43 21-cc 22-b5 23-4f 24-2c 25-28 26-15 27-a5 
28-25 29-de 2a-67 2b-99 2c-24 2d-aa 2e-8b 2f-17 
30-3f 31-ec 32-e9 33-88 34-04 35-16 36-0d 37-fe 
38-78 39-5e 3a-19 3b-a2 3c-d6 3d-ad 3e-d0 3f-30 
40-05 41-bd 42-9c 43-20 44-c7 45-f9 46-5a 47-12 
48-c9 49-cd 4a-7c 4b-8f 4c-b2 4d-87 4e-6c 4f-23 
50-54 51-a1 52-f5 53-d2 54-50 55-61 56-9e 57-f1 
58-bf 59-73 5a-46 5b-81 5c-1c 5d-60 5e-39 5f-e6 
60-5d 61-55 62-1b 63-a7 64-f7 65-69 66-79 67-2a 
68-fc 69-65 6a-e5 6b-e2 6c-4e 6d-db 6e-86 6f-af 
70-d1 71-c8 72-7f 73-59 74-0b 75-93 76-b0 77-18 
78-38 79-66 7a-0f 7b-da 7c-4a 7d-a3 7e-d8 7f-72 
80-e1 81-5b 82-13 83-c0 84-11 85-e0 86-6e 87-4d 
88-33 89-94 8a-b1 8b-2e 8c-bb 8d-a6 8e-f8 8f-4b 
90-e3 91-ff 92-e4 93-75 94-89 95-10 96-97 97-96 
98-1e 99-2b 9a-1d 9b-d3 9c-42 9d-b6 9e-56 9f-d4 
a0-b8 a1-51 a2-3b a3-7d a4-ed a5-27 a6-8d a7-63 
a8-06 a9-f0 aa-2d ab-c3 ac-cb ad-3d ae-0a af-6f 
b0-76 b1-8a b2-4c b3-0c b4-df b5-22 b6-9d b7-eb 
b8-a0 b9-ce ba-c6 bb-8c bc-03 bd-41 be-f6 bf-58 
c0-83 c1-01 c2-fd c3-ab c4-09 c5-e7 c6-ba c7-44 
c8-71 c9-48 ca-00 cb-ac cc-21 cd-49 ce-b9 cf-0e 
d0-3e d1-70 d2-53 d3-9b d4-9f d5-07 d6-3c d7-ef 
d8-7e d9-1a da-7b db-6d dc-14 dd-ea de-29 df-b4 
e0-85 e1-80 e2-6b e3-90 e4-92 e5-6a e6-5f e7-c5 
e8-f4 e9-32 ea-dd eb-b7 ec-31 ed-a4 ee-1f ef-d7 
f0-a9 f1-57 f2-f3 f3-f2 f4-e8 f5-52 f6-be f7-64 
f8-8e f9-45 fa-02 fb-08 fc-68 fd-c2 fe-37 ff-91 
end wires

wires 62
00-2c 01-de 02-c9 03-e4 04-d7 05-f0 06-42 07-13 
08-fa 09-81 0a-e6 0b-22 0c-2e 0d-fb 0e-3d 0f-41 
10-f1 11-88 12-75 13-07 14-93 15-c0 16-e8 17-9c 
18-a4 19-62 1a-df 1b-2d 1c-bd 1d-7f 1e-bf 1f-af 
20-6c 21-40 22-0b 23-ac 24-74 25-e0 26-4e 27-9b 
28-47 29-69 2a-3f 2b-c8 2c-00 2d-1b 2e-0c 2f-4f 
30-e9 31-f6 32-4b 33-eb 34-6e 35-a3 36-c3 37-f8 
38-d8 39-99 3a-e2 3b-5f 3c-ca 3d-0e 3e-51 3f-2a 
40-21 41-0f 42-06 43-84 44-ae 45-58 46-85 47-28 
48-c7 49-c1 4a-b4 4b-32 4c-ce 4d-c2 4e-26 4f-2f 
50-52 51-3e 52-50 53-db 54-61 55-fe 56-ec 57-cc 
58-45 59-77 5a-ff 5b-b1 5c-90 5d-e7 5e-b8 5f-3b 
60-83 61-54 62-19 63-cb 64-9d 65-fc 66-ad 67-7c 
68-92 69-29 6a-9a 6b-e3 6c-20 6d-f3 6e-34 6f-87 
70-71 71-70 72-d3 73-ab 74-24 75-12 76-8c 77-59 
78-8e 79-b0 7a-dc 7b-d9 7c-67 7d-a7 7e-a0 7f-1d 
80-cd 81-09 82-d1 83-60 84-43 85-46 86-f7 87-6f 
88-11 89-d0 8a-b9 8b-bb 8c-76 8d-98 8e-78 8f-97 
90-5c 91-9e 92-68 93-14 94-dd 95-96 96-95 97-8f 
98-8d 99-39 9a-6a 9b-27 9c-17 9d-64 9e-91 9f-d6 
a0-7e a1-aa a2-da a3-35 a4-18 a5-f5 a6-a8 a7-7d 
